916|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL165SL Nickel Wound Bass Guitar Strings Custom Light 45-105 Super Long Scale","id":"EXL165SL","price":"24.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Custom Light / Super Long Scale Set|EXL165SL|
917|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL165 5-String Nickel Wound Bass Guitar Strings Custom Light 45-135 Long Scale","id":"EXL165-5","price":"24.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Custom Light 5-String / Long Scale Set|EXL165-5|
918|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ECB81SL Chromes Bass Guitar Strings Light 45-100 Super Long Scale","id":"ECB81SL","price":"48.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light / Super Long Scale Set|ECB81SL|
919|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ETB92M Tapewound Bass Guitar Strings Medium 50-105 Medium Scale","id":"ETB92M","price":"48.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Medium / Medium Scale Set|ETB92M|
920|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ECB81SL Chromes Bass Guitar Strings Light 45-100 Super Long Scale","id":"ECB81SL","price":"48.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light / Super Long Scale Set|ECB81SL|
921|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL160TP Nickel Wound Bass Guitar Strings Medium 50-105 2 Sets Long Scale","id":"EXL160TP","price":"36.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-2"}]}}}|Medium / Long Scale Set|EXL160TP|
922|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4605 Pro-Arte Nylon Classical Guitar Single String Hard Tension Fifth String","id":"J4605","price":"4.30","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Silver Wound 036/J46 5th Hard Tension|J4605|
923|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ45TT ProArte Dynacore Classical Guitar Strings Titanium Trebles Normal Tension","id":"EJ45TT","price":"16.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Composite Dynacore, Titanium Nylon Trebles|EJ45TT|
924|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL160SL Nickel Wound Bass Guitar Strings Medium 50-105 Super Long Scale","id":"EXL160SL","price":"21.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Medium / Super Long Scale Set|EXL160SL|
925|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ECB84 Chromes Bass Guitar Strings Custom Light 40-100 Long Scale","id":"ECB84","price":"44.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Custom Light / Long Scale Set|ECB84|
926|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL160-5 5-String Nickel Wound Bass Guitar Strings Medium 50-135 Long Scale","id":"EXL160-5","price":"24.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Medium 5-String / Long Scale Set|EXL160-5|
927|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ECB81SL Chromes Bass Guitar Strings Light 45-100 Super Long Scale","id":"ECB81SL","price":"48.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light / Super Long Scale Set|ECB81SL|
928|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario XLB090 Nickel Wound Bass Guitar Single String Long Scale .090","id":"XLB090","price":"9.85","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single XL Nickel Wound 090 Long Scale|XLB090|
929|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL230 Nickel Wound Bass Guitar Strings Heavy 55-110 Long Scale","id":"EXL230","price":"19.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Heavy / Long Scale Set|EXL230|
930|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ50 Pro-Arte Black Nylon Classical Guitar Strings Hard Tension","id":"EJ50","price":"10.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Nylon Core, Black Nylon Trebles|EJ50|
931|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL165 5-String Nickel Wound Bass Guitar Strings Custom Light 45-135 Long Scale","id":"EXL165-5","price":"24.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Custom Light 5-String / Long Scale Set|EXL165-5|
932|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ25C Pro-Arte Clear Nylon Composite Flamenco Guitar Strings","id":"EJ25C","price":"13.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Composite Core, Clear Nylon Trebles|EJ25C|
933|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario XLB105 Nickel Wound Bass Guitar Single String Long Scale .105","id":"XLB105","price":"9.85","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single XL Nickel Wound 105 Long Scale|XLB105|
934|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ50 Pro-Arte Black Nylon Classical Guitar Strings Hard Tension","id":"EJ50","price":"10.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Nylon Core, Black Nylon Trebles|EJ50|
935|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ25C Pro-Arte Clear Nylon Composite Flamenco Guitar Strings","id":"EJ25C","price":"13.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Composite Core, Clear Nylon Trebles|EJ25C|
936|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ49 Pro-Arte Black Nylon Classical Guitar Strings Normal Tension","id":"EJ49","price":"10.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Nylon Core, Black Nylon Trebles|EJ49|
937|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4505LP Pro-Arte Composite Classical Guitar Single String Normal Tension Fifth String","id":"J4505LP","price":"6.20","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Silver Wound Composite Polished 033/J45LP 5th Norm Tension|J4505LP|
938|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ29 Classics Rectified Classical Guitar Strings Moderate Tension","id":"EJ29","price":"12.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Nylon Core, Rectified Nylon Trebles|EJ29|
939|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ50 Pro-Arte Black Nylon Classical Guitar Strings Hard Tension","id":"EJ50","price":"10.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Nylon Core, Black Nylon Trebles|EJ50|
940|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ENR71SL Half Round Bass Guitar Strings Regular Light 45-100 Super Long Scale","id":"ENR71SL","price":"27.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Regular Light / Super Long Set|ENR71SL|
941|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXP170-5SL Coated 5-String Bass Guitar Strings Light 45-130 Super Long Scale","id":"EXP170-5SL","price":"0.00","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light 5-String / Super Long Scale Set|EXP170-5SL|
